original_title,overview,genres,tagline,keywords,directors,cast,poster_path,status,spoken_languages,averageRating
The Strange One,A military school student develops a destructive power over his fellow cadets.,Drama,"""THE STRANGE ONE"" IS A STRANGE ONE!","based on novel or book, gay interest, hazing, military school, abuse of power, gay theme",Jack Garfein,"Ben Gazzara, Pat Hingle, Peter Mark Richman, Arthur Storch, Paul E. Richards, Larry Gates, Clifton James, Geoffrey Horne, James Olson, Julie Wilson",/b0SrpyJp7R2UG8cLFEo5qsZ1QHx.jpg,Released,English,6.9
Dhokha,"Post-September 11, 2001, Zaid Ahmed Khan lives a wealthy lifestyle in Mumbai and resides in an apartment at Shanti Kutir, Juhu Tara Road, Mumbai, and works as an Assistant Commissioner of Police. One day terrorists strike at a club, killing 20 people, &amp; critically injuring several others. The Police are put on alert, and Zaid is summoned to Police Headquarters to identify a body. To his shock the body turns out to be that of Sarha, his wife - who was not a victim but was a suicide-bomber. While trying to put his life together, Zaid comes across evidence that Sarha may have had an hand in the killings, and thus intrigued he decides to travel to Nasik to find out what really happened, whether his devout Islamic wife was really a terrorist or the victim of a deep-rooted conspiracy.","Drama, Action, Romance, Thriller",Some betrayals are never forgotten,woman director,Pooja Bhatt,"Muzammil Ibrahim, Tulip Joshi, Aushima Sawhney, Gulshan Grover",/opOV0aXoeskONTWO2xmDMcC714I.jpg,Released,Hindi,6.2
Gunfighters,"Gunfighter ""Brazos"" Kane lays aside his guns ""forever"" when he is forced to shoot his best friend, and decides to join another friend, Bob Tyrell, as a cowhand on the Inskip ranch. Upon arriving there he finds the bullet-riddled body of his friend. He carries the body to the Banner ranch, the largest in the territory, and is accused by Banner of murdering Tyrell; Banner orders Deputy Sheriff Bill Yount, who is in Banner's pay, to arrest Kane. But Kane has the sympathy of Banner's daughter, Jane, who notifies Inskip of Kane's plight, and Inskip arrives in time to prevent a lynching. Sheriff Kiscade dismisses the murder charge for lack of evidence. Brazos then sets out to find the killer of his friend. Bess Bannister, Jane's sister, is in love with the Banner ranch foreman, Bard Macky, and knowing that Bard killed Tyrell and that Kane will track him down, then hampers Kane's mission somewhat by pretending to be in love with him.",Western,Zane Grey's great romance of the west.,"sheriff, ranch, sister, murder",George Waggner,"Randolph Scott, Barbara Britton, Dorothy Hart, Bruce Cabot, Charley Grapewin, Steven Geray, Forrest Tucker, Charles Kemper, Grant Withers, Griff Barnett",/96eJR2PGQy9vO8ESY4IOCFpQ9vs.jpg,Released,English,6.3
I Cover Big Town,"One of the four films in the Pine-Thomas series based on radio's long-running ""Big Town."" This time out, society editor Lorelei Kilbourne is assigned to the police beat. Her paper, ""The Illustrated Press"", following its usual policy of socially-correct muckraking by crusading editor Steve Wilson, is putting heat on the chief of police. But Lorelei believes the chief is qualified to do the job. She and managing editor Steve Wilson, who, in the film series, is wrong more often than right, discover a corpse and then proceed to help the police solve the crime.",Drama,"TWO-FISTED, FIGHTING STEVE WILSON UNCOVERS BIG TOWN'S BIGGEST DOUBLE-CROSS!",newspaper man,William C. Thomas,"Phillip Reed, Hillary Brooke, Robert Lowery, Robert Shayne, Mona Barrie, Vince Barnett, Louis Jean Heydt, Frank Wilcox, Leonard Penn",/m5B8MzOj5Q93Wictm2rSSUr2cmM.jpg,Released,English,6.1
Howling V: The Rebirth,"When a group of people from different walks of life converge in a Hungarian castle situated in Budapest which has been sealed for 500 years, they bring with them a werewolf which slowly begins to cut their numbers down.",Horror,The beast returns!,"sequel, snow, werewolf",Neal Sundstrom,"Phil Davis, Victoria Catlin, Ben Cole, Mary Stavin, William Shockley, Elizabeth Shé, Mark Sivertsen, Stephanie Faulkner, Jill Pearson, József Madaras",/irbRWCwIB1AONKlA4VzsYRkGmrK.jpg,Released,"German, English, Hungarian",4.4
Hunted,An unexpected bond develops between a fugitive killer and a runaway orphan on an odyssey across England.,"Crime, Drama, Thriller",Nowhere dare they show themselves... Nowhere dare they rest...,"london, england, scotland, film noir, fugitive, on the run, post war, corporal punishment, wanted man, bonding",Charles Crichton,"Dirk Bogarde, Jon Whiteley, Elizabeth Sellars, Kay Walsh, Frederick Piper, Julian Somers, Jane Aird, Geoffrey Keen, Jack Stewart, Douglas Blackwell",/2JQ0AcSLVpZrotvQTj5rivxRD1u.jpg,Released,English,7.3
Women Everywhere,"Charles Jackson, an American sea-captain and singing soldier-of-fortune, is arrested by the French Foreign Legion for running guns to the rebel forces in Morocco fighting against the rule of the French in north Africa. He is saved by Lili La Fleur, a singer/dance in a Morocco café and, through her, eventually becomes a hero to the Foreign Legion.","Adventure, Romance, Music","A thrilling, tuneful and colorful romance of the Foreign Legion in Morocco.","foreign legion, morocco, singing",Alexander Korda,"J. Harold Murray, Fifi D'Orsay, George Grossmith, Clyde Cook, Ralph Kellard, Rose Dione, Walter McGrail",/axgJwmXW3NsHvFCNJCRzAnEXAkp.jpg,Released,English,5.6
The Way We Live Now,"A mid-life crisis propels a disaffected advertising executive out of his marriage and into a series of disastrous love affairs with a series of women. He will eventually return to his wife, chastened.",Drama,FEEL! He can't!,mid-life crisis,Barry Brown,"Nicholas Pryor, Joanna Miles, Lois Smith, Lynda Simon, Patricia McAneny, Rebecca Darke, Sydney Walker, Linda Blair, Samantha Jones",/tzTLxNoMXNW9azn6fZsXicJG1wR.jpg,Released,English,6.2
Queen City Rocker,"In the turbulence of Auckland, Ska (Hunter) is a streetwise 19 year old, whose father is a drunkard and whose older sister works at a high-class massage parlour. When he decide to “rescue” her, he is thrown out. With some friends, he take revenge by trashing the place, but the reply results in Ska's best friend being killed. The massage parlour boss is also a crooked concert promoter, so Ska, and his gang, “hijack” a concert which incites the audience to riot.","Drama, Crime, Action",What could possibly go wrong in 4 days?,"urban, gang, auckland",Bruce Morrison,"Micheal Hunter, Mark Pilisi, Rebecca Saunders-Smith, Kim Willoughby, Peter Bland, Johnny Bond",/ap7JGlmTBbr1kEnWwK7pOkUGWfY.jpg,Released,English,6.3
Oscar,"Angelo ""Snaps"" Provolone made his dying father a promise on his deathbed: he would leave the world of crime and become an honest businessman. Despite having no experience in making money in a legal fashion, Snaps sets about to keep his promise.",Comedy,"In crime and comedy, timing is everything.","businessman, honesty",John Landis,"Sylvester Stallone, Marisa Tomei, Vincent Spano, Ornella Muti, Tim Curry, Peter Riegert, Chazz Palminteri, Martin Ferrero, Harry Shearer, Kirk Douglas",/rGJOzUwHlkx8MKy2oR2qEiT7g4G.jpg,Released,"English, Italian",6.5
Stanley and Livingstone,"When American newspaperman and adventurer Henry M. Stanley comes back from the western Indian wars, his editor James Gordon Bennett sends him to Africa to find Dr. David Livingstone, the missing Scottish missionary. Stanley finds Livingstone (""Dr. Livingstone, I presume."") blissfully doling out medicine and religion to the happy natives. His story is at first disbelieved.","Adventure, History",He succeeded in the maddest quest in History...because one girl believed in him!,"africa, missionary, biography, explorer, 19th century","Henry King, Otto Brower","Spencer Tracy, Nancy Kelly, Richard Greene, Walter Brennan, Charles Coburn, Cedric Hardwicke, Henry Hull, Henry Travers, Miles Mander, David Torrence",/qzllhCKNOsrFWhULvMpSaE2OaFx.jpg,Released,English,7.0
The Red Ball Express,"August 1944: proceeding with the invasion of France, Patton's Third Army has advanced so far toward Paris that it cannot be supplied. To keep up the momentum, Allied HQ establishes an elite military truck route.","Action, Drama, War",FROM BEACHHEAD TO BATTLEFRONT! THEY CARRY THE AMMO FOR PATTON'S TANKS!,"france, driver",Budd Boetticher,"Jeff Chandler, Alex Nicol, Charles Drake, Judith Braun, Sidney Poitier, Jacqueline Duval, Bubber Johnson, Davis Roberts, Hugh O'Brian, Frank Chase",/6PwuCRvBdvXk18V1GVR7vUZhI3h.jpg,Released,English,6.4
Programming the Nation?,"Programming the Nation? takes an encompassing look at the history of subliminal messaging in America. According to many authorities, since the late 1950s subliminal content has been tested and delivered through all forms of mass-media including Hollywood filmmakers Alfred Hitchcock and William Friedkin. Even our modern military has been accused of these practices in the ""war on terror"" against soldiers and civilians both abroad and at home. With eye-opening footage, revealing interviews, humorous anecdotes, and an array of visual effects, the film categorically explores the alleged usage of subliminals in advertising, music, film, television, anti-theft devices, political propaganda, military psychological operations, and advanced weapons development. Director Jeff Warrick makes it his personal mission to determine if these manipulative tactics have succeeded in ""programming the nation?"" Or, if subliminal messaging belongs in the category of what many consider urban legend.",Documentary,"Are we all brainwashed? Or, have we lost our minds?","propaganda, politics, consumerism, advertising, iraq war, deficit spending, subliminal ",Jeff Warrick,"Douglas Rushkoff, Noam Chomsky, Amy Goodman, Dennis Kucinich, Mark Crispin Miller",/e8dyK0SrKqQPNEAZeqNRBfdbmf0.jpg,Released,English,6.1
Call the Shot,A suicidal man forces his bartender to carry out his death wish through a life-defining conversation.,Drama,People who fear death are people who have lives worth living,"depression, suicide, dark comedy, bartender, friends, fear, acceptance, hope for a new life, carpe diem",Dean Parker,"LeJon Woods, Chanse McDuffie, Yang Miller",/12jQDeOS7KioDfQazDsJhC44tPp.jpg,Released,English,9.0
Defenders of Dynatron City,"Made-for-TV special about a delivery man, his friends, and a talking ape mutating into quirky superheroes and fighting a mad scientist who wants to conquer their futuristic atomic city. Based on the eponymous NES video game.","Animation, Adventure, Comedy, Family",An Awesome Atomic Adventure!,"superhero, based on video game, tv special",Chuck Patton,"Whoopi Goldberg, Tim Curry, David Coburn, Pat Fraley, Candi Milo, Brian Stokes Mitchell, Gary Owens, Charlie Adler, April Winchell",/uUz8qaqPKbVeUWjUGoZ1v2dWOc.jpg,Released,English,5.8
Fuck My Mom & Me 9,"Sara Paelin and Bristhole Paelin were steaming mad about some nasty comments that David Ledderman made, but things got even hotter during his green room apology! Perris and her mom Kathy knew the only way to jump start her movie career was by sucking some director cock. When a dirty Paparazzo confronted Brittni & Lyn with an embarrassing picture, they were to pay him off with the pussy! When Linzey Lohen went to rehab with her mom Dena, they let Billy fuck'em hard for booze!",Comedy,Nasty Fucking Tabloid Tag Team Sex!,"threesome, milf, mother daughter relationship, family roleplay",Stoney Curtis,"Raquel Devine, Lux May, Maya Divine, Kiara Diane, Kendra Secrets, Lexi Belle, Niki Wylde, Ashlyn Rae, Randy Spears, Talon",/vVdURNcIPfPtpWcUKggwmdOlPnd.jpg,Released,English,6.2
Hello Trouble,"After killing a friend in a gunfight, Jeff Douglas quits the Texas Rangers. He arrives at the Kenyon ranch just as Jonathan Kenyon apparently commits suicide. He and Janet Kenyon then become the new half owners. At first, he refuses to wear a gun and is believed to be a coward, but as trouble mounts, he straps it on once again.",Western,What happens when two quick-trigger men decide to shoot it out?,bank robbery,Lambert Hillyer,"Buck Jones, Lina Basquette, Russell Simpson, Otto Hoffman, Wallace MacDonald, Alan Roscoe, Morgan Galloway, Ruth Warren, Frank Rice, Lafe McKee",/uInsrSqpLcg0r3sIC30DZlAxbcc.jpg,Released,English,6.9
Welcome to Curiosity,Four interconnected stories surrounding the escape from prison of a notorious serial killer.,Thriller,Curiosity. Will it kill you too?,"prison, escape, serial killer",Ben Pickering,"Amrita Acharia, Richard Blackwood, Kacey Clarke, Cristian Solimeno, Brian Croucher, Lili Bordán, Stephen Marcus, Sean Cronin, Christopher Rithin, Jack Ashton",/yqvkFTounpgOPQCZjkIczVGVmmD.jpg,Released,English,4.2
Cold Feet,"When each is unlucky at love, a TV writer-director and a research scientist begin seeing each other.","Comedy, Romance",Abstinence makes the heart grow fonder.,"eccentric, psychiatrist",Bruce Van Dusen,"Griffin Dunne, Marissa Chibas, Blanche Baker, Marc Cronogue, Kurt Knudson, Joseph Leon, Marcia Jean Kurtz, Peter Boyden, Dan Strickler, John Jellison",/uRkf7Xicp6CE3WtLqM7jGxqTM4Q.jpg,Released,English,5.1
The Crimson Pirate,"Burt Lancaster plays a pirate with a taste for intrigue and acrobatics who involves himself in the goings on of a revolution in the Caribbean in the late 1700s. A light hearted adventure involving prison breaks, an oddball scientist, sailing ships, naval fights and tons of swordplay.","Adventure, Comedy",MAN OF NINE LIVES AND 1000 SURPRISES!,"cannon, swordplay, revolution, protection, pirate, scientist, corrupt politician, swashbuckler, 18th century, sailing ship, caribbean sea, sea battle, pirate ship, corrupt official, evil ruler",Robert Siodmak,"Burt Lancaster, Nick Cravat, Eva Bartok, Torin Thatcher, James Hayter, Leslie Bradley, Margot Grahame, Noel Purcell, Frederick Leister, Eliot Makeham",/bx6WTlybfmCuutVfysGC9lms0qC.jpg,Released,English,7.1
Phoenix,"A disfigured concentration-camp survivor, unrecognizable after facial reconstruction surgery, searches ravaged postwar Berlin for the husband who might have betrayed her to the Nazis.",Drama,"A Gripping Noirish Study of Treachery, Identity and Survival.","berlin, germany, based on novel or book, auschwitz-birkenau concentration camp, singing, disfigured face, concentration camp survivor, neo-noir, face bandage",Christian Petzold,"Nina Hoss, Ronald Zehrfeld, Nina Kunzendorf, Trystan Pütter, Michael Maertens, Imogen Kogge, Felix Römer, Uwe Preuss, Valerie Koch, Eva Bay",/wxjXlO1sHQZdOcJfFDKBYQthfoo.jpg,Released,"German, English",7.3
Libel,"A California commercial pilot sees a telecast in London of an interview with Sir Mark Lodden at his home. The Canadian is convinced that the baronet is a fraud, and he is actually a look-alike actor named Frank Welney.","Drama, Mystery",The surprise witness ! The searching question ! The perjured testimony ! The accusing finger ! The shattering truth !,"court case, england, war veteran, return, look-alike, courtroom drama, english nobility, libel suit, airplane pilot, imposter, pow, prisoner of war camp",Anthony Asquith,"Dirk Bogarde, Olivia de Havilland, Paul Massie, Robert Morley, Wilfrid Hyde-White, Anthony Dawson, Richard Wattis, Richard Dimbleby, Martin Miller, Millicent Martin",/5CfI3m9rdHXLDXYCIaPKlKtDyuS.jpg,Released,English,7.1
Last Life,"Two lovers learn they've known each other over many life times and that this is their last life together. They don't have long to live and must clean up the 'hurts' between them earned over the millennia and multiple personalities they've inhabited together. Travelling through time visions, the see themselves as slaves, as officers of the law, as stranger on a train and heal the rifts between them as they revisit. Unfortunately they learn they are not alone. A third entity reveals he has been following them through many lives as several different people. He is angry that they are now preparing to leave the earth. The entity does not want them to leave it behind and fights against their harmony.","Drama, Romance",Destiny is yours to choose,"time travel, reincarnation, race, healing, love story, african american, many lives",Michael Phillip Edwards,"Tamika Lamison, Kobe Reverditto",/h5oqAha9GI6uywcQ7BFscu5j0j2.jpg,Released,English,8.2
Burglar,"Bernice ""Bernie"" Rhodenbarr is a burglar by trade, and she runs a bookstore as well. Her friend Carl Hefler is a dog groomer. After a successful burglary, it's discovered that a dead body was in the house she burgled. As she's the only one who can be placed at the scene of the crime, she has to use her criminal skills to clear her name of the murder AND avoid getting charged with the burglary.","Crime, Comedy",A first rate comedy about a second story woman.,"bookshop, burglar, suspicion of murder, thief",Hugh Wilson,"Whoopi Goldberg, Bobcat Goldthwait, G.W. Bailey, Lesley Ann Warren, John Goodman, Vyto Ruginis, James Handy, Anne DeSalvo, Elizabeth Ruscio, Raye Birk",/dSsLyJefsfn4SncqUA0WhXt7S2j.jpg,Released,English,5.1
Woman Against the World,"A young woman marries against her father's will, but the happy life she expected turns into a series of tragedies.","Drama, Crime","""I was trying to give my kid the breaks you men never gave me!""","prison, lawyer, manslaughter",David Selman,"Alice Moore, Ralph Forbes, Edgar Edwards, Collette Lyons, Sylvia Welsh, Ethel Reese-Burns, George Hallett, James McGrath, Harry Hay, Enid Cole",/7QwIQQQBJGqAOkgUQRIBZydrIli.jpg,Released,English,5.8
Borderline Forever - Scott The Woz,Scott discovers shapes exist. He must work with his friends to discover the existence of the Blue Borderline. Thank you all for watching!,Comedy,"Hey yall, Scott Here...",playful,Scott Wozniak,"Scott Wozniak, Sam Essig, Eric Turney, Jeffrey Pohlman-Beshuk, ConnerEatsPants, Brett Favre, Indiejacob, Jim Lazarus Caddick, Juan Ortiz, Joe Robertson",/n7OoF8CoB89jdgn7pfOWYaICQsJ.jpg,Released,English,9.7
Leonard Part 6,"After separating from his wife, Leonard Parker (Cosby) quit the spy business and became a restaurateur. His wife refuses to speak with him, and his daughter, who changes her career more often than her clothes, has begun dating a man old enough to be Leonard's father! On top of it all, the government has asked him to come back and save the world again.","Action, Comedy",Our world is in safe hands.,"spy, suspicious, disrespectful",Paul Weiland,"Bill Cosby, Tom Courtenay, Joe Don Baker, Moses Gunn, Pat Colbert, Gloria Foster, Victoria Rowell, Anna Thomson, David Maier, Grace Zabriskie",/aauZlMqKIDxTlgRZgZlRrJJ9JU2.jpg,Released,"English, Spanish",2.2
Playboy: Girls of McDonald's,"Following the success of the Women of Wal-Mart, Playboy went on another arousing girl-next-door search, this time to that uniquely American institution, McDonald’s! See McDonald’s sexiest employees step out from behind the counter, lose the uniforms, and say cheese! Plus action footage of our six sexy sirens doing all sorts of things they don’t do at work: wrestling alligators, getting tattoos, bowling naked with a girlfriend, and much more!",Documentary,Do fries come with that shake?,"fast food restaurant, nude modeling, glamour modeling",Gary Gray,"Cristy Creighton, Amanda Bell, Jenn Takach, Kristin Takach, Shawnna Getzinger, Wanda Coallier, Randy Occhialini, Sarah Kruze, Corinne, George Georgiou",/acRR3Rb9zBN5KVmSo4Ep3v1u7mR.jpg,Released,English,6.8
The Garden,A troubled young boy and his father on a road trip stumble upon a rural farm where the elderly owner has sinister plans for the both of them involving witchcraft and evil.,"Drama, Thriller, Horror",Armageddon is at hand and the final prophecy is about to be fulfilled.,"rain, female psychiatrist, horse ranch, rocking chair",Don Michael Paul,"Lance Henriksen, Brian Wimmer, Adam Taylor Gordon, Claudia Christian, Sean Young, Victoria Justice, Erik Walker, Dale Gibson, Danielle McKee, Jennifer Lutheran",/b4Bpw9uLDWbhlL0WfTO4KaApr6X.jpg,Released,English,4.6
Down the Stretch,"A jockey tries to overcome the reputation of his father, who once threw a race.",Drama,"THRILLING, SPILLING SUSPENSE!","jockey, kentucky derby",William Clemens,"Mickey Rooney, Patricia Ellis, Willie Best, Dennis Moore, Virginia Brissac, Gordon Hart, Mary Treen, Bill Elliott, Charles C. Wilson, Joseph Crehan",/1dE8DZM3ttEDGO28ybxc5MKdS78.jpg,Released,English,5.8
Cléo de 5 à 7,"Agnès Varda eloquently captures Paris in the sixties with this real-time portrait of a singer set adrift in the city as she awaits test results of a biopsy. A chronicle of the minutes of one woman’s life, Cléo from 5 to 7 is a spirited mix of vivid vérité and melodrama, featuring a score by Michel Legrand and cameos by Jean-Luc Godard and Anna Karina.",Drama,The whole world... has made an appointment with...,"individual, paris, france, singer, cancer, woman director, day in a life, algerian war (1954-62)",Agnès Varda,"Corinne Marchand, Antoine Bourseiller, Dominique Davray, Dorothée Blanck, José Luis de Vilallonga, Loye Payen, Renée Duchateau, Lucienne Marchand, Robert Postec, Anna Karina",/oelBStY4xpguaplRv15P3Za7Xsr.jpg,Released,French,7.8
Hard Target,"When a woman's father goes missing, she enlists a local to aid in her search.  The pair soon discover that her father has died at the hands of a wealthy sportsman who hunts homeless men as a form of recreation.","Action, Adventure, Crime, Thriller",Don't hunt what you can't kill.,"martial arts, showdown, psychopath, new orleans, louisiana, mercenary, hunting human beings, fistfight, money, organized crime, drifter, one man army, union, one against many, sailor, warrior, human prey, action hero, manhunt",John Woo,"Jean-Claude Van Damme, Arnold Vosloo, Lance Henriksen, Yancy Butler, Sven-Ole Thorsen, Wilford Brimley, Ted Raimi, Kasi Lemmons, Willie C. Carpenter, Eliott Keener",/kufvuQYWdl82sYzmhy2naBLyMui.jpg,Released,English,6.2
Charlie St. Cloud,"Accomplished sailor Charlie St. Cloud has the adoration of his mother Claire and his little brother Sam, as well as a college scholarship that will lead him far from his sleepy Pacific Northwest hometown. But his bright future is cut short when a tragedy strikes and takes his dreams with it. After his high-school classmate Tess returns home unexpectedly, Charlie grows torn between honoring a promise he made four years earlier and moving forward with newfound love. And as he finds the courage to let go of the past for good, Charlie discovers the soul most worth saving is his own.","Drama, Romance",Life is for living.,"sibling relationship, based on novel or book, sailing, ghost, young adult",Burr Steers,"Zac Efron, Charlie Tahan, Amanda Crew, Augustus Prew, Donal Logue, Kim Basinger, Ray Liotta, Dave Franco, Matt Ward, Miles Chalmers",/r4XSrs6N086EU8CNm339dHRPhZg.jpg,Released,English,6.4
Layover,"When the heiress of a luxury hotel chain is kidnapped at her dingy motel outside Detroit by a band of ruthless sex traffickers, her downtrodden assistant must figure out a way to rescue her.","Crime, Mystery, Thriller","On a layover in Detroit, the nightmare began.","bratva (russian mafia), heiress",Richard Schenkman,"Lauren Holly, Kaylee DeFer, Rayne Bidder, Massi Furlan, Lauren Reeder, Lony'e Perrine, Tara Erica Moore, Joe Lando, Anya Monzikova, Philip Battley",/xMlZA15evaQFJyzXFfoS6iTQp21.jpg,Released,"English, Russian",4.5
War Hunt,"Dispatched to the front lines during the Korean War, an idealistic American soldier discovers the horrors of combat and comes at odds with a psychopathic member of his platoon.","Drama, War","It happened on a raging battlefield, but he could have been a murderer stalking a city's streets!","korean war, front line warfare, night patrols, baseball vs. knife",Denis Sanders,"John Saxon, Charles Aidman, Tommy Matsuda, Gavin MacLeod, Tom Skerritt, William Challee, Nancy Hsueh, Robert Redford",/mjO6AVPXkxuwYcOKC4RKLyZ3OnS.jpg,Released,English,6.3
Once Were Warriors,"A drama about a Maori family living in Auckland, New Zealand. Lee Tamahori tells the story of Beth Heke’s strong will to keep her family together during times of unemployment and abuse from her violent and alcoholic husband.",Drama,"A family in crisis, a life in chaos... Nothing is more powerful than a mother's love.","individual, suicide, rape, strong woman, tattoo, slum, funeral, alcohol, tradition, approved school , loss of loved one, despair, indigenous, ghetto, violent husband, new zealand, maori, lack of prospects, maori tradition, teacher, youth gang, crush, domestic violence, rebellious youth, alcohol abuse, incest, unemployment, auckland",Lee Tamahori,"Rena Owen, Temuera Morrison, Mamaengaroa Kerr-Bell, Julian Arahanga, Taungaroa Emile, Rachael Morris Jr., Joseph Kairau, Cliff Curtis, Pete Smith, George Henare",/1nd4SsytVc96hy92g8NNVPD3mzf.jpg,Released,"English, Maori",7.9
Ben,"A lonely boy becomes good friends with Ben, a rat. This rat is also the leader of a pack of vicious killer rats, killing lots of people.","Horror, Thriller","Where 'WILLARD' ended... Ben begins. And this time, he's not alone!","animal attack, sequel, death, sewer, rat, eaten by rats, pet rat",Phil Karlson,"Lee Montgomery, Joseph Campanella, Arthur O'Connell, Rosemary Murphy, Meredith Baxter, Kaz Garas, Paul Carr, Kenneth Tobey, James Luisi, Lee Paul",/LvTapjbjdg9bGzt79hZAp2idcn.jpg,Released,English,5.3
Evil's City,"Reporters uncover the dark secret behind Acheron, a shadowy town whose inhabitants have mysteriously died.","Action, Horror, Thriller",The final crossing before hell.,small town,Tom Lewis,"Brandon Largent, America Young, Karl Champley, Laura Mazur, Tyler Lassiter, Eric Dean, Bill Ross, Cris Rath, James Bulleit, Hegs Laughlin",/AfJkRN1qDZ0q5cBj2A9ylwXxF5I.jpg,Released,English,2.4
Hollywood Hotel,"After losing a coveted role in an upcoming film to another actress, screen queen Mona Marshall (Lola Lane) protests by refusing to appear at her current movie's premiere. Her agent discovers struggling actress Virginia Stanton (Rosemary Lane) -- an exact match for Mona -- and sends her to the premiere instead, with young musician Ronnie Bowers (Dick Powell). After various mishaps, including a case of mistaken identity, Ronnie and Virginia struggle to find success in Hollywood.","Comedy, Music, Romance",DIRECT TO YOU...FROM THE ORCHID ROOM OF THE AIR!,musical,Busby Berkeley,"Dick Powell, Rosemary Lane, Lola Lane, Hugh Herbert, Ted Healy, Glenda Farrell, Johnnie Davis, Louella Parsons, Alan Mowbray, Mabel Todd",/67WhlzMM4u847dl45lMKN3THmg7.jpg,Released,English,6.4
He Knows You're Alone,"A reluctant bride to be is stalked by a serial killer who only kills brides and the people around them. While her friends get whacked one by one, a hard boiled renegade cop whose bride had been killed years before tries to hunt him down before it is too late.",Horror,The Wedding Night Killer is about to strike again!,"insanity, detective, shower, blackout, bride, stalker, murder, urban legend, decapitation, serial killer, maniac, stripping, psycho killer, funhouse, dance studio, stabbed to death",Armand Mastroianni,"Caitlin O'Heaney, Elizabeth Kemp, Dana Barron, Tom Hanks, James Rebhorn, Paul Gleason, Steve James, Lewis Arlt, Patsy Pease, Joseph Leon",/90rdztFCRAxQsEfy35cxH9qt3N1.jpg,Released,English,5.1
La lama nel corpo,"Patients and those working in an isolated mental hospitals are murdered, one by one, by a madman lurking in the corridors","Horror, Crime",Bloodletter! Bone-chilling! The thing is subhuman and it has a knife!,"madman, mental clinic","Elio Scardamaglia, Lionello De Felice","William Berger, Françoise Prévost, Mary Young, Barbara Wilson, Philippe Hersent, Harriet Medin, Germano Longo, Massimo Righi, Delfi Mauro, Anna Maria Polani",/rhAT1XCjxoWpkhWXRqFwOVozkaH.jpg,Released,Italian,5.7
Hanging By A Thread,"It's the future, and humanity is but a memory, existing only in scattered pieces. That is until a pillow's needlepoint rendering of three individuals, collectively known as the Clothespin Freaks, finds the spark of life and surfaces to fulfill their destinies. Once aware of their purpose, the group begins assembling the remains of humanity they see all around them.",Animation,The future is bright. The future is by a thread.,woman director,Catya Plate,Indigo Pavlov,/pReCYjSPzDQm8kOb25rwLVkPUP5.jpg,Released,English,8.2
Something to Sing About,James Cagney has a rare chance to show his song-and-dance-man roots in this low-budget tale of a New York bandleader struggling with a Hollywood studio boss.,Comedy,A Cagney you have never seen!,"musical, bandleader",Victor Schertzinger,"James Cagney, Evelyn Daw, William Frawley, Mona Barrie, Gene Lockhart, Philip Ahn, Marek Windheim, Dwight Frye, John ""Skins"" Miller, Johnny Arthur",/lGnovhVbh3LuR3rkuTRhnagxJqk.jpg,Released,English,6.2
宇宙からのメッセージ,"The peaceful planet of Jillucia has been nearly wiped out by the Gavanas, whose leader takes orders from his mother rather than the Emperor. King Kaiba sends out eight Liabe holy seeds, each to be received by a chosen one to defend the Gavanas. Each recipient, ranging from hardened General Garuda to Gavana Prince Hans to young Terrans Meia, Kido, and Aaron all have different reactions to being chosen.","Action, Adventure, Science Fiction",Where Fantasies are Real & Reality is Fantastic.,space battle,Kinji Fukasaku,"Vic Morrow, Sonny Chiba, Philip Casnoff, Peggy Lee Brennan, Etsuko Shihomi, Tetsuro Tamba, Mikio Narita, Makoto Satō, Seizō Fukumoto, Hiroyuki Sanada",/gLUYuY5dc4zE44zQ5tHN58Dy0vO.jpg,Released,Japanese,4.9
उड़ता पंजाब,"Drug abuse and the darker side of Punjab rear their heads in the intense, interwoven tales of a policeman, a doctor, a migrant worker, and a rockstar.","Action, Crime, Drama",Drugs di maa di.,"police, drug addiction, singer, doctor, drugs, punjab, rockstar",Abhishek Chaubey,"Shahid Kapoor, Alia Bhatt, Kareena Kapoor Khan, Diljit Dosanjh, Satish Kaushik, Manav Vij, Vansh Bhardwaj, Suhail Nayyar, Prabhjhyot Singh, Mahabir Bhullar",/c7BXGhHwvK1AfDCmfPTtw5LsuIU.jpg,Released,"Hindi, Punjabi",7.7
The Beggar Bride,"How far will she go for money?  ""Don't you see, Billy, people like them owe people like us.""  Young, beautiful and living on the breadline with a feckless husband and a sickly child, Angela Harper decides to take matters into her own hands in order to save her family from the poverty trap.  She hits on the perfect plan after noticing a newspaper feature on the once divorced and once widowed lord, Sir Fabian Ormoerod.  She will marry the man and then hit him for a massive divorce settlement.  And so the stunning Ms Angela Harper, successful lingerie buyer with an alluring independent streak is born...",Drama,How far will she go?,"jealousy, based on novel or book, greed, bigamy, stockings",Diarmuid Lawrence,"Keeley Hawes, Nicholas Jones, Joe Duttine, Richard Lintern, John Bowler, Georgina Sutcliffe",/3nvmbRVUhPVUY3wQ2zr7OdR2NUS.jpg,Released,English,7.2
